DEA Code,DEA Name,Year,Number of Farms,Number of lfa farms  ,Number of non lfa farms  ,Total area farmed in hectares  ,Average SO/farm   (€ '000 )  ,Total crops in hectares  ,Total grass & rough grazing in hectares  ,Total number of cattle  ,Total number of sheep  ,Total number of pigs  ,Total number of poultry ('000)  ,Number of farmers  ,Number of self employed,Number of spouses  ,Number of Other workers  ,Total number of Agricultural labour  ,Number of V. Small farms,Number of small farms,Number of medium farms,Number of large farms
N10000101,AIRPORT,2015,289,108,181,"16,663",101,690,"15,609","28,859","22,126","2,187",238,353,219,99,187,639,196,43,18,32
N10000102,ANTRIM,2015,9,3,5,135,102,22,112,178,233,"3,368",0,10,3,3,3,14,7,3,0,3
N10000103,BALLYCLARE,2015,150,78,72,"6,174",131,224,"5,915","13,298","11,278","4,208",20,189,112,44,76,309,102,22,8,18
N10000104,DUNSILLY,2015,414,267,147,"17,277",115,708,"16,060","34,022","35,381","3,564",770,505,301,121,187,813,291,67,21,35
N10000105,GLENGORMLEY URBAN,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N10000106,MACEDON,2015,5,3,3,89,87,5,83,84,5,0,0,8,7,3,30,39,3,0,0,3
N10000107,THREE MILE WATER,2015,20,16,3,"1,352",43,0,"1,350","2,150",948,"10,624",0,22,16,7,5,34,15,3,3,3
N10000201,ARMAGH,2015,786,391,395,"22,174",113,995,"20,952","54,248","19,662","99,251",820,948,492,176,760,"1,884",598,98,32,58
N10000202,BANBRIDGE,2015,545,33,512,"18,758",764,"2,764","15,784","40,793","32,637","9,562",132,692,385,164,239,"1,095",403,66,28,48
N10000203,CRAIGAVON,2015,114,67,47,"3,530",83,197,"3,188","7,783","2,173","3,417",149,142,82,32,60,234,81,18,7,8
N10000204,CUSHER,2015,834,514,320,"26,055",118,"1,661","23,909","60,649","37,926","26,218",842,998,523,220,345,"1,563",645,82,45,62
N10000205,LAGAN RIVER,2015,446,149,297,"16,095",108,"2,111","13,853","36,159","21,091",373,547,553,306,118,218,889,320,53,31,42
N10000206,LURGAN,2015,120,47,73,"4,768",41,251,"4,440","12,859",760,"3,653",154,148,82,31,60,239,81,15,10,14
