Ward2014 Code,Ward2014 Name,Year,Number of Farms,Number of lfa farms  ,Number of non lfa farms  ,Total area farmed in hectares  ,Average SO/farm   (€ '000 )  ,Total crops in hectares  ,Total grass & rough grazing in hectares  ,Total number of cattle  ,Total number of sheep  ,Total number of pigs  ,Total number of poultry ('000)  ,Number of farmers  ,Number of self employed,Number of spouses  ,Number of Other workers  ,Total number of Agricultural labour  
N08000101,Abbey (Antrim and Newtownabbey),2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000102,Aldergrove,2015,103,5,98,6452,114,237,5933,10899,12756,1139,137,129,87,44,90,263
N08000103,Antrim Centre,2015,5,3,3,41,164,0,40,42,0,3368,0,5,3,0,0,5
N08000104,Ballyclare East,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000105,Ballyclare West,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000106,Ballyduff,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000107,Ballyhenry,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000108,Ballynure,2015,89,65,24,3716,78,43,3648,7619,8614,47,15,113,66,26,34,173
N08000109,Ballyrobert,2015,31,3,27,1267,94,45,1216,3060,1081,0,0,35,21,12,31,78
N08000110,Burnthill,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000111,Carnmoney,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000112,Carnmoney Hill,2015,5,3,3,89,169,5,83,84,5,0,0,8,7,3,30,39
N08000113,Clady,2015,112,88,24,5927,96,245,5629,11028,6119,108,75,135,81,32,55,222
N08000114,Collinbridge,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000115,Cranfield,2015,68,21,47,2757,98,150,2581,7194,1792,48,81,87,59,15,31,133
N08000116,Crumlin,2015,7,0,7,222,57,0,222,398,136,0,0,9,3,3,3,13
N08000117,Doagh,2015,22,7,15,969,138,137,830,2343,1144,4161,5,33,21,5,11,49
N08000118,Fairview,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000119,Fountain Hill,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000120,Glebe (Antrim and Newtownabbey),2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000121,Glengormley,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000122,Greystone (Antrim and Newtownabbey),2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000123,Hightown,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000124,Jordanstown,2015,13,13,0,1171,260,0,1170,2003,393,10624,0,15,11,3,3,23
N08000125,Mallusk,2015,18,5,13,738,81,92,646,1211,406,925,0,20,11,6,9,35
N08000126,Monkstown,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000127,Mossley,2015,7,3,3,181,17,0,180,147,555,0,0,7,5,3,3,11
N08000128,O'Neill,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000129,Parkgate,2015,108,88,20,5102,71,263,4772,7693,17371,0,103,130,76,40,50,220
N08000130,Randalstown,2015,10,6,3,818,78,43,455,711,2451,0,0,11,3,3,11,25
N08000131,Rathcoole,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000132,Rostulla,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000133,Shilvodan,2015,113,102,11,4196,104,123,4038,7298,8786,2531,466,133,78,35,46,214
N08000134,Springfarm,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000135,Steeple,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000136,Stiles,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000137,Templepatrick,2015,49,10,39,3324,98,116,3180,5323,2709,15,26,60,37,14,32,106
N08000138,Toome,2015,115,50,65,4404,90,129,4214,11126,4981,985,121,144,84,28,49,221
N08000139,Valley (Antrim and Newtownabbey),2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000140,Whitehouse,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000201,Aghagallon,2015,90,43,47,3701,93,144,3506,10156,506,1396,77,110,67,23,55,188
N08000202,Ballybay,2015,23,3,21,834,85,277,554,922,22,0,0,32,18,3,36,72
N08000203,Banbridge East,2015,91,3,89,3637,118,472,3145,9499,4417,3397,0,128,74,35,46,209
N08000204,Banbridge North,2015,15,0,15,180,12,10,166,269,334,0,0,16,5,7,5,28
N08000205,Banbridge South,2015,5,0,5,176,71,10,166,405,793,0,0,7,3,3,0,8
N08000206,Banbridge West,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000207,Blackwatertown,2015,243,40,203,7571,133,741,6703,17981,4219,1205,494,308,165,51,392,751
N08000208,Bleary,2015,30,3,27,694,49,37,653,1147,1102,0,0,35,18,5,13,53
N08000209,Brownlow,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000210,"Cathedral (Armagh City, Banbridge and Craigavon)",2015,8,3,7,127,21,6,116,139,0,0,0,8,3,3,0,11
N08000211,Corcrain,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000212,Craigavon Centre,2015,11,10,3,491,142,80,382,1400,12,0,0,14,7,3,10,28
N08000213,Demesne,2015,9,0,9,179,48,4,174,432,58,0,12,9,6,3,3,14
N08000214,Derrytrasna,2015,55,52,3,1690,68,72,1509,3344,577,600,149,72,41,15,29,116
N08000215,Donaghcloney,2015,88,3,85,4094,130,724,3348,9698,2508,0,271,115,69,27,52,194
N08000216,"Dromore (Armagh City, Banbridge and Craigavon)",2015,26,3,23,669,46,76,592,1299,1730,0,0,30,10,6,8,44
N08000217,Gilford,2015,63,3,62,2250,91,166,2003,4587,895,5,0,79,43,12,49,140
N08000218,Gransha,2015,195,140,55,5781,73,423,5322,12964,13548,38,156,235,131,51,86,372
N08000219,Hamiltonsbawn,2015,167,82,85,5307,103,609,4631,10457,8823,11916,302,200,108,45,91,336
N08000220,Keady,2015,254,235,19,5640,52,11,5609,13586,2934,185,71,288,144,49,165,502
N08000221,Kernan,2015,17,3,15,630,134,9,620,1792,482,2817,0,20,15,7,7,34
N08000222,Killycomain,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000223,Knocknashane,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000224,Lough Road,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000225,Loughbrickland,2015,211,3,208,7066,74,1463,5548,15118,13829,2664,102,266,149,62,66,394
N08000226,Loughgall,2015,170,45,125,4588,102,927,3616,9255,4307,4990,158,208,121,42,314,564
N08000227,Magheralin,2015,21,3,20,908,132,44,842,2350,201,2257,21,28,14,7,3,39
N08000228,Mahon,2015,31,3,28,945,91,102,837,2198,265,0,38,36,19,9,17,62
N08000229,Markethill,2015,200,69,131,7603,102,486,6843,19434,15479,4576,134,250,150,69,79,398
N08000230,Mourneview,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000231,Navan,2015,261,112,149,7965,156,143,7751,20135,12180,97861,135,320,168,66,170,556
N08000232,Parklake,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000233,Quilly,2015,110,3,108,4549,102,770,3742,10022,2999,25,120,140,80,28,57,225
N08000234,Rathfriland,2015,159,27,132,5424,77,643,4731,10855,12369,3496,31,194,109,47,73,314
N08000235,Richhill,2015,70,13,57,2749,82,377,2339,5331,2429,0,54,88,45,21,62,171
N08000236,Seagahan,2015,374,349,25,9408,61,88,9247,23170,10577,9650,351,435,209,76,96,607
N08000237,"Shankill (Armagh City, Banbridge and Craigavon)",2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000238,Tandragee,2015,23,3,22,988,89,101,849,2257,618,76,0,25,11,9,17,51
N08000239,The Birches,2015,171,118,53,5167,93,416,4671,10846,2787,6813,19,214,120,45,182,441
N08000240,The Mall,2015,11,3,8,691,295,91,599,1975,271,0,108,15,5,5,30,50
N08000241,Waringstown,2015,27,3,26,1002,82,119,850,2176,306,310,0,33,16,6,15,54
N08000301,Andersonstown,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000302,Ardoyne,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000303,Ballygomartin,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
