WPC Code,WPC Name,Year,Number of Farms,Number of lfa farms  ,Number of non lfa farms  ,Total area farmed in hectares  ,Average SO/farm   (€ '000 )  ,Total crops in hectares  ,Total grass & rough grazing in hectares  ,Total number of cattle  ,Total number of sheep  ,Total number of pigs  ,Total number of poultry ('000)  ,Number of farmers  ,Number of self employed,Number of spouses  ,Number of Other workers  ,Total number of Agricultural labour  ,Number of V. Small farms,Number of small farms,Number of medium farms,Number of large farms
N06000001,Belfast East,2010,3,3,3,3,269.20,"2,053.10","2,598.00","4,355",4,0,37,3,3,3,3,3,3,3,3,3
N06000002,Belfast North,2010,3,3,3,3,5.40,492.30,674.00,122,1,0,12,3,3,3,3,3,3,3,3,3
N06000003,Belfast South,2010,3,3,3,3,222.10,"1,346.70","3,149.00","1,485","1,707",0,30,3,3,3,3,3,3,3,3,3
N06000004,Belfast West,2010,3,3,3,3,0.00,861.90,997.00,108,0,0,13,3,3,3,3,3,3,3,3,3
N06000005,East Antrim,2010,800,788,12,"46,495.40",357.40,"45,815.40","44,049.00","193,211","3,411","160,564",942,572,221,429,1592,579,132,38,51,27
N06000006,East Londonderry,2010,1550,973,577,"88,267.50","7,605.30","79,205.70","113,172.00","252,011","5,810","683,072","1,941",1179,410,767,3118,1063,264,104,119,37
N06000007,Fermanagh & South Tyrone,2010,4262,3945,317,"164,515.10","1,199.50","160,815.00","249,089.00","120,387","50,014","3,411,942","4,977",2485,1017,1440,7434,3508,464,164,126,21
N06000008,Foyle,2010,183,110,73,"10,136.50","1,938.70","8,017.50","13,383.00","20,844",4,0,228,148,46,112,386,121,30,12,20,41
N06000009,Lagan Valley,2010,862,254,608,"33,666.40","5,732.50","27,630.40","61,507.00","44,826","13,508","438,555","1,082",603,290,444,1816,620,116,43,83,35
N06000010,Mid Ulster,2010,2856,1896,960,"97,324.50","4,020.00","91,915.80","175,570.00","158,784","93,984","3,574,422","3,416",1703,649,1105,5170,2251,325,151,129,25
N06000011,Newry & Armagh,2010,3025,2133,892,"79,653.40","5,014.10","73,903.10","182,572.00","76,971","77,643","1,739,454","3,562",1663,651,1584,5797,2415,316,123,171,25
N06000012,North Antrim,2010,2198,1443,755,"106,124.90","4,869.80","99,594.00","167,781.00","277,415","19,102","2,852,438","2,772",1737,672,964,4408,1500,335,179,184,36
N06000013,North Down,2010,117,0,117,"5,405.80",865.70,"3,873.70","11,373.00","3,140",135,"8,000",140,87,36,80,256,77,14,8,18,50
N06000014,South Antrim,2010,1032,624,408,"47,476.60","2,436.50","44,138.90","92,851.00","64,623","19,092","1,112,441","1,253",738,316,502,2071,721,152,65,94,35
N06000015,South Down,2010,2619,1570,1049,"86,259.50","8,123.00","77,179.40","146,214.00","246,576","30,798","758,180","3,202",1634,659,1153,5014,2069,317,106,127,24
N06000016,Strangford,2010,896,237,659,"45,773.20","6,830.10","37,213.90","74,009.00","54,408","29,137","189,993","1,153",701,321,626,2100,586,127,61,122,53
N06000017,Upper Bann,2010,744,241,503,"25,115.50","3,044.40","21,647.90","55,539.00","14,150","9,898","518,378",940,483,195,579,1714,548,85,42,69,37
