_id,DC Code,DC Name,Year,Number of Farms,Number of lfa farms,Number of non lfa farms,Total area farmed in hectares,Average SO/farm   ( '000 ),Total crops in hectares,Total grass & rough grazing in hectares,Total number of cattle,Total number of sheep,Total number of pigs,Total number of poultry ('000),Number of farmers,Number of self employed,Number of spouses,Number of Other workers,Total number of Agricultural labour,Number of V. Small farms,Number of small farms,Number of medium farms,Number of large farms
1,95AA,Antrim,2010,653,366,287,32458.5,1538.799999999999954525264911353588104248046875,30127.5999999999985448084771633148193359375,62571,49512,11425,1099901,798,484,208,324,1330,434,107,48,64,37.87
2,95BB,Ards,2010,624,64,560,28167.5,6148.6999999999998181010596454143524169921875,21347.79999999999927240423858165740966796875,55545,38076,14525,132920,810,522,219,503,1532,388,92,41,103,62.31
3,95CC,Armagh,2010,1767,941,826,51818.0999999999985448084771633148193359375,4407.5,46884.0999999999985448084771633148193359375,119427,53056,70043,1551153,2101,1099,439,1174,3714,1312,224,93,138,30.43
4,95DD,Ballymena,2010,1155,782,373,48401.5,1307.799999999999954525264911353588104248046875,46397.699999999997089616954326629638671875,80083,113608,2595,1669016,1444,866,367,424,2235,837,159,84,75,31.58
5,95EE,Ballymoney,2010,654,312,342,32108.9000000000014551915228366851806640625,2395,29200.70000000000072759576141834259033203125,57105,61878,14755,1136735,817,531,186,288,1291,422,105,60,67,42.53
6,95FF,Banbridge,2010,1060,395,665,39469.0999999999985448084771633148193359375,4211.8000000000001818989403545856475830078125,34972.5,72116,72968,10042,286604,1331,705,303,505,2139,796,133,55,76,29.36
7,95GG,Belfast,2010,16,12,4,1787.40000000000009094947017729282379150390625,110.1,1670.200000000000045474735088646411895751953125,2527,1438,1707,0,21,15,2,53,76,11,2,1,2,58.87
8,95HH,Carrickfergus,2010,100,97,3,3552.1999999999998181010596454143524169921875,18.5,3458,5072,10872,752,5600,120,66,30,60,210,78,16,3,3,21.34
9,95II,Castlereagh,2010,97,5,92,6182.100000000000363797880709171295166015625,642.9,4847.600000000000363797880709171295166015625,9650,5589,852,0,128,84,36,92,256,61,13,4,19,55.39
10,95JJ,Coleraine,2010,668,289,379,34970.5999999999985448084771633148193359375,3309.40000000000009094947017729282379150390625,31103,61994,58885,4906,580075,856,541,199,343,1398,423,119,53,73,42.1
11,95KK,Cookstown,2010,1237,755,482,40215.4000000000014551915228366851806640625,1325.200000000000045474735088646411895751953125,38485.0999999999985448084771633148193359375,84890,47051,63864,1671081,1500,786,324,512,2336,965,131,71,70,28.38
12,95LL,Craigavon,2010,553,235,318,18767.29999999999927240423858165740966796875,2315.8000000000001818989403545856475830078125,16106.29999999999927240423858165740966796875,41039,6428,8595,504576,688,358,149,453,1290,405,66,33,49,38.34
13,95MM,Derry,2010,465,382,83,26151.9000000000014551915228366851806640625,2200.1999999999998181010596454143524169921875,23486.4000000000014551915228366851806640625,26282,91391,661,1,568,354,113,238,919,341,79,18,27,28.83
28,95BB,Ards,2011,619,62,557,28723.5,106.27,6353.5,21679.5999999999985448084771633148193359375,55981,38689,13404,111950,788,491,219,506,1513,379,97,47,96
14,95NN,Down,2010,1128,644,484,51335.800000000002910383045673370361328125,4550.6999999999998181010596454143524169921875,45095.699999999997089616954326629638671875,75805,99214,19880,244448,1383,745,316,551,2250,845,163,54,66,26.54
15,95OO,Dungannon,2010,1696,1263,433,53522,1058.799999999999954525264911353588104248046875,51716.0999999999985448084771633148193359375,116145,33159,55094,4444138,2006,966,370,617,2993,1312,215,81,88,27.24
16,95PP,Fermanagh,2010,2963,2943,20,120687.699999999997089616954326629638671875,344.6,118487.300000000002910383045673370361328125,154242,90885,2169,642920,3429,1699,722,959,5110,2529,284,98,52,18.35
17,95QQ,Larne,2010,522,516,6,30152.0999999999985448084771633148193359375,181.4,29790.79999999999927240423858165740966796875,34954,117249,2657,145889,617,391,154,249,1020,364,88,27,43,30.73
18,95RR,Limavady,2010,600,412,188,37281.5,4034.40000000000009094947017729282379150390625,32633.79999999999927240423858165740966796875,38279,122579,247,102996,745,432,144,298,1187,420,96,45,39,39.02
19,95SS,Lisburn,2010,751,286,465,29815.29999999999927240423858165740966796875,4970.100000000000363797880709171295166015625,24581.4000000000014551915228366851806640625,50562,31221,13410,320291,934,520,237,395,1566,548,99,36,68,34.55
20,95TT,Magherafelt,2010,1222,880,342,47414.5,2490.90000000000009094947017729282379150390625,44042.300000000002910383045673370361328125,69382,108076,22871,228225,1458,737,250,457,2165,953,159,65,45,23.13
21,95UU,Moyle,2010,565,522,43,38376.699999999997089616954326629638671875,1324.5,36533.300000000002910383045673370361328125,34540,166589,1623,55762,714,454,155,372,1241,376,99,43,47,32.44
22,95VV,Newry & Mourne,2010,2435,2019,416,57026.199999999997089616954326629638671875,2615.3000000000001818989403545856475830078125,53968.9000000000014551915228366851806640625,114751,139935,23676,621306,2891,1236,492,861,4244,2083,205,70,77,19.19
23,95WW,Newtownabbey,2010,219,116,103,9189.5,544.9,8569.5,20919,11413,7783,3802,263,156,73,132,468,161,25,8,25,36.91
24,95XX,North Down,2010,64,0,64,3287.40000000000009094947017729282379150390625,486.4,2198.59999999999990905052982270717620849609375,6647,2344,116,0,78,48,19,54,151,39,8,8,9,53.24
25,95YY,Omagh,2010,2036,1931,105,83237.199999999997089616954326629638671875,597.6,80827.5,123628,128015,30486,878475,2388,1302,444,702,3534,1638,232,93,73,23.82
26,95ZZ,Strabane,2010,1221,1010,211,68597.199999999997089616954326629638671875,2421.40000000000009094947017729282379150390625,63896.0999999999985448084771633148193359375,86201,186263,39870,205172,1473,868,255,565,2293,876,166,84,95,33.35
27,95AA,Antrim,2011,657,359,298,32570,87.61,1587.200000000000045474735088646411895751953125,30179.0999999999985448084771633148193359375,62484,49779,11820,1049375,801,475,212,347,1360,437,106,48,66
29,95CC,Armagh,2011,1772,931,841,51975.199999999997089616954326629638671875,76.85,4241.1999999999998181010596454143524169921875,47229.699999999997089616954326629638671875,116768,55816,68132,1827376,2064,1082,443,1248,3755,1323,221,90,138
30,95DD,Ballymena,2011,1164,783,381,47512.699999999997089616954326629638671875,74.07,1211.200000000000045474735088646411895751953125,45535.800000000002910383045673370361328125,80917,116084,3849,1951220,1418,806,365,455,2238,856,147,90,71
31,95EE,Ballymoney,2011,651,305,346,31816.9000000000014551915228366851806640625,107.1,2314.40000000000009094947017729282379150390625,28787.79999999999927240423858165740966796875,55866,66284,12217,1306025,824,518,190,325,1339,422,102,58,69
32,95FF,Banbridge,2011,1054,384,670,39073.4000000000014551915228366851806640625,62.99,4379.600000000000363797880709171295166015625,34344,72562,71581,12488,380918,1288,678,309,528,2125,782,141,52,79
33,95GG,Belfast,2011,16,12,4,1794.299999999999954525264911353588104248046875,124.4,145.8,1626.09999999999990905052982270717620849609375,2575,1579,1659,0,20,13,4,84,108,11,2,1,2
34,95HH,Carrickfergus,2011,97,94,3,3432.59999999999990905052982270717620849609375,40.66,14.1,3326.5,4887,11690,782,500,114,64,34,52,200,75,15,4,3
35,95II,Castlereagh,2011,96,5,91,6140.399999999999636202119290828704833984375,103.5,596.7,4843.100000000000363797880709171295166015625,9926,5541,751,0,133,83,41,101,275,63,9,4,20
