_id,Ward1992 Code,Ward1992 Name,Year,Number of Farms,Number of lfa farms,Number of non lfa farms,Total area farmed in hectares,Average SO/farm   ( '000 ),Total crops in hectares,Total grass & rough grazing in hectares,Total number of cattle,Total number of sheep,Total number of pigs,Total number of poultry ('000),Number of farmers,Number of self employed,Number of spouses,Number of Other workers,Total number of Agricultural labour
1,95AA01,Aldergrove,2010,95,8,87,6392,n.a.,320,5816,11828,8895,1116,98700,119,71,36,77,232
2,95AA02,Balloo,2010,3,3,3,3,n.a.,3,3,3,3,3,3,3,3,3,3,3
3,95AA03,Ballycraigy,2010,3,3,3,3,n.a.,3,3,3,3,3,3,3,3,3,3,3
4,95AA04,Clady,2010,132,97,35,6691,n.a.,355,6291,12884,7796,7126,143920,157,98,39,71,267
5,95AA05,Cranfield,2010,44,3,41,2024,n.a.,117,1884,5480,1026,1635,26500,55,41,10,24,89
6,95AA06,Crumlin ANTRIM,2010,9,3,7,335,n.a.,36,297,610,138,0,0,11,7,5,3,18
7,95AA07,Drumanaway,2010,59,38,21,2380,n.a.,157,2206,5448,741,3,20000,73,42,18,19,110
8,95AA08,Farranshane,2010,3,3,3,3,n.a.,3,3,3,3,3,3,3,3,3,3,3
9,95AA09,Fountain Hill,2010,3,3,3,3,n.a.,3,3,3,3,3,3,3,3,3,3,3
10,95AA10,Greystone,2010,3,3,3,3,n.a.,3,3,3,3,3,3,3,3,3,3,3
11,95AA11,Massereene,2010,6,5,3,317,n.a.,44,271,533,246,0,0,8,6,0,3,10
12,95AA12,parkgate,2010,92,73,19,4192,n.a.,152,3992,7295,14329,7,149000,112,63,31,40,183
13,95AA13,Randalstown,2010,14,9,5,883,n.a.,42,519,641,3023,3,2000,14,3,5,10,29
14,95AA14,Shilvodan,2010,107,100,7,4060,n.a.,127,3904,6648,7424,1536,625880,131,78,38,33,202
15,95AA15,Springfarm,2010,3,3,3,3,n.a.,3,3,3,3,3,3,3,3,3,3,3
16,95AA16,Steeple,2010,3,3,3,3,n.a.,3,3,3,3,3,3,3,3,3,3,3
17,95AA17,Stiles,2010,3,3,3,3,n.a.,3,3,3,3,3,3,3,3,3,3,3
18,95AA18,Templepatrick,2010,24,3,22,2091,n.a.,49,2031,2813,2455,0,31000,31,20,8,12,51
19,95AA19,Toome,2010,65,27,38,2977,n.a.,135,2804,8138,3012,0,2900,80,52,16,34,130
20,95BB01,Ballygowan,2010,43,29,14,1179,n.a.,53,1092,2326,659,583,4970,55,31,15,27,97
21,95BB02,Ballyrainey,2010,12,0,12,849,n.a.,566,270,511,1197,22,0,17,10,3,19,40
22,95BB03,Ballywalter,2010,36,3,35,2033,n.a.,382,1507,4875,2122,3,0,48,30,11,27,86
23,95BB04,Bradshaws Brae,2010,9,0,9,597,n.a.,99,498,1813,0,5,0,14,13,3,7,24
24,95BB05,Carrowdore,2010,92,0,92,4585,n.a.,733,3718,9920,11365,9,44770,115,83,32,57,204
25,95BB06,Central Ards,2010,3,3,3,3,n.a.,3,3,3,3,3,3,3,3,3,3,3
26,95BB07,Comber East,2010,6,3,5,208,n.a.,163,44,0,255,0,0,8,6,0,13,21
27,95BB08,Comber North,2010,5,0,5,302,n.a.,256,42,0,143,0,0,6,6,3,7,14
28,95BB09,Comber West,2010,12,0,12,519,n.a.,265,247,404,635,0,0,13,7,3,3,21
29,95BB10,Donaghadee North,2010,21,0,21,967,n.a.,203,703,1846,453,0,8000,24,16,8,10,42
30,95BB11,Donaghadee South,2010,3,3,3,3,n.a.,3,3,3,3,3,3,3,3,3,3,3
31,95BB12,Glen,2010,7,0,7,220,n.a.,28,187,471,614,0,0,9,6,0,3,10
32,95BB13,Gregstown,2010,3,3,3,3,n.a.,3,3,3,3,3,3,3,3,3,3,3
33,95BB14,Killinchy,2010,63,13,50,3277,n.a.,610,2615,4446,7876,3,0,91,59,23,57,171
34,95BB15,Kircubbin,2010,88,0,88,3710,n.a.,685,2944,8163,2137,27,75050,116,69,37,65,218
35,95BB16,Lisbane,2010,73,16,57,2741,n.a.,609,2100,4218,6527,0,120,92,52,29,62,183
36,95BB17,Loughries,2010,37,3,36,1345,n.a.,180,1154,3749,1340,5,0,47,32,15,25,87
37,95BB18,Millisle,2010,30,0,30,1113,n.a.,168,941,2823,299,19,0,35,21,8,14,57
38,95BB19,Movilla,2010,3,3,3,3,n.a.,3,3,3,3,3,3,3,3,3,3,3
39,95BB20,Portaferry,2010,41,3,39,2406,n.a.,701,1637,4921,1679,12983,0,52,37,10,37,99
40,95BB21,Portavogie,2010,39,3,38,1723,n.a.,138,1572,4960,701,852,0,53,34,14,27,94
41,95BB22,Scrabo,2010,3,3,3,3,n.a.,3,3,3,3,3,3,3,3,3,3,3
42,95BB23,Whitespots,2010,3,3,3,3,n.a.,3,3,3,3,3,3,3,3,3,3,3
43,95CC01,Abbey Park,2010,9,3,8,165,n.a.,3,155,340,124,0,0,13,7,3,3,17
44,95CC02,Ballymartrim,2010,149,3,145,4900,n.a.,346,4513,12342,1879,732,427670,176,96,33,74,283
45,95CC03,Callan Bridge,2010,3,3,3,3,n.a.,3,3,3,3,3,3,3,3,3,3,3
46,95CC04,Carrigatuke,2010,183,174,9,4946,n.a.,10,4886,12132,3594,1860,10200,213,99,36,54,303
47,95CC05,Charlemont,2010,78,34,44,2219,n.a.,277,1878,3476,723,3,73650,100,51,16,131,247
48,95CC06,Demesne,2010,8,3,5,109,n.a.,11,98,188,0,0,0,8,0,3,3,15
49,95CC07,Derrynoose,2010,247,236,11,5094,n.a.,29,5048,11784,1834,2521,53070,275,129,55,76,406
50,95CC08,Downs,2010,5,3,3,94,n.a.,0,94,187,0,0,10790,5,3,3,3,8
51,95CC09,Hamiltonsbawn,2010,126,50,76,3915,n.a.,367,3524,8124,5597,237,99470,143,73,29,49,221
52,95CC10,Hockley,2010,88,11,77,2852,n.a.,540,2295,6923,1931,3919,7170,100,61,28,147,275
53,95CC11,Keady,2010,14,13,3,291,n.a.,1,290,625,70,0,0,17,11,3,21,39
54,95CC12,Killeen,2010,206,184,22,4929,n.a.,261,4650,12969,5754,4786,417100,254,124,45,94,393
55,95CC13,Killylea,2010,162,69,93,5174,n.a.,273,4779,12156,8752,45866,118880,196,110,49,171,416
56,95CC14,Laurelvale,2010,26,3,25,1119,n.a.,342,771,1483,187,5753,2500,30,15,6,22,58
57,95CC15,Loughgall,2010,84,20,64,1911,n.a.,524,1363,3320,1300,0,49500,105,64,27,157,289
58,95CC16,Markethill,2010,64,58,6,2047,n.a.,113,1925,5001,3710,0,79800,78,47,15,17,110
59,95CC17,Milford,2010,122,61,61,3672,n.a.,68,3572,8797,5440,264,109850,147,69,25,38,210
60,95CC18,Observatory,2010,9,3,6,557,n.a.,98,456,1443,3,3,0,12,3,3,3,17
61,95CC19,Poyntz Pass,2010,144,13,131,6119,n.a.,792,5299,15868,10600,3591,87200,179,112,54,72,305
62,95CC20,Rich Hill,2010,14,3,11,608,n.a.,194,391,800,952,68,0,16,9,3,8,26
